# discriminants.csv V1.0.0 - 10/12/2025 12:42:43;;;;;;;;;;;
type;fr;en;de;es;it;pt;pl;ro;th;ar;cn;ja
vocabulaire;avec,sans,les,des,qui,ont,dans,pour,que,est,une,sur,pas,mais,aux,cette,tout,être,faire,comme;with,without,the,who,have,has,this,that,from,are,was,were,been,being,which,their,would,could,should,about;mit,ohne,die,der,das,haben,ist,sind,und,ein,eine,nicht,auch,sich,auf,für,werden,kann,nach,bei;con,sin,los,las,que,tienen,está,son,una,para,por,como,pero,más,este,esta,todo,puede,hace,sobre;con,senza,gli,che,hanno,sono,una,per,come,più,questo,questa,tutto,può,fare,essere,anche,della,nella,sulla;com,sem,os,as,que,têm,está,são,uma,para,por,como,mais,este,esta,todo,pode,fazer,também,sobre;z,bez,który,która,które,mają,jest,są,dla,jak,ale,też,przez,przy,nad,pod,można,będzie,bardzo,tylko;cu,fără,care,sunt,este,pentru,dar,mai,acest,această,tot,poate,face,fiind,prin,asupra,într,dintre,după,când;;;;
accent;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;;ä,ö,ü,ß,Ä,Ö,Ü,ẞ;á,é,í,ó,ú,ñ,ü,¿,¡,Á,É,Í,Ó,Ú,Ñ,Ü;à,è,é,ì,ò,ù,À,È,É,Ì,Ò,Ù;á,â,ã,à,é,ê,í,ó,ô,õ,ú,ç,Á,Â,Ã,À,É,Ê,Í,Ó,Ô,Õ,Ú,Ç;ą,ć,ę,ł,ń,ó,ś,ź,ż,Ą,Ć,Ę,Ł,Ń,Ó,Ś,Ź,Ż;ă,â,î,ș,ț,Ă,Â,Î,Ș,Ț;;;;
;;;;;;;;;;;;
type;vocabulaire;accent;;;;;;;;;;
fr;avec,sans,les,des,qui,ont,dans,pour,que,est,une,sur,pas,mais,aux,cette,tout,être,faire,comme;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;;;;;;;;;;
en;with,without,the,who,have,has,this,that,from,are,was,were,been,being,which,their,would,could,should,about;;;;;;;;;;;
de;mit,ohne,die,der,das,haben,ist,sind,und,ein,eine,nicht,auch,sich,auf,für,werden,kann,nach,bei;ä,ö,ü,ß,Ä,Ö,Ü,ẞ;;;;;;;;;;
es;con,sin,los,las,que,tienen,está,son,una,para,por,como,pero,más,este,esta,todo,puede,hace,sobre;á,é,í,ó,ú,ñ,ü,¿,¡,Á,É,Í,Ó,Ú,Ñ,Ü;;;;;;;;;;
it;con,senza,gli,che,hanno,sono,una,per,come,più,questo,questa,tutto,può,fare,essere,anche,della,nella,sulla;à,è,é,ì,ò,ù,À,È,É,Ì,Ò,Ù;;;;;;;;;;
pt;com,sem,os,as,que,têm,está,são,uma,para,por,como,mais,este,esta,todo,pode,fazer,também,sobre;á,â,ã,à,é,ê,í,ó,ô,õ,ú,ç,Á,Â,Ã,À,É,Ê,Í,Ó,Ô,Õ,Ú,Ç;;;;;;;;;;
pl;z,bez,który,która,które,mają,jest,są,dla,jak,ale,też,przez,przy,nad,pod,można,będzie,bardzo,tylko;ą,ć,ę,ł,ń,ó,ś,ź,ż,Ą,Ć,Ę,Ł,Ń,Ó,Ś,Ź,Ż;;;;;;;;;;
ro;cu,fără,care,sunt,este,pentru,dar,mai,acest,această,tot,poate,face,fiind,prin,asupra,într,dintre,după,când;ă,â,î,ș,ț,Ă,Â,Î,Ș,Ț;;;;;;;;;;
th;;;;;;;;;;;;
ar;;;;;;;;;;;;
cn;;;;;;;;;;;;
;;;;;;;;;;;;
type;vocabulaire;;;;;;;;;;;
fr;avec,sans,les,des,qui,ont,dans,pour,que,est,une,sur,pas,mais,aux,cette,tout,être,faire,comme;;;;;;;;;;;
en;with,without,the,who,have,has,this,that,from,are,was,were,been,being,which,their,would,could,should,about;;;;;;;;;;;
de;mit,ohne,die,der,das,haben,ist,sind,und,ein,eine,nicht,auch,sich,auf,für,werden,kann,nach,bei;;;;;;;;;;;
es;con,sin,los,las,que,tienen,está,son,una,para,por,como,pero,más,este,esta,todo,puede,hace,sobre;;;;;;;;;;;
it;con,senza,gli,che,hanno,sono,una,per,come,più,questo,questa,tutto,può,fare,essere,anche,della,nella,sulla;;;;;;;;;;;
pt;com,sem,os,as,que,têm,está,são,uma,para,por,como,mais,este,esta,todo,pode,fazer,também,sobre;;;;;;;;;;;
pl;z,bez,który,która,które,mają,jest,są,dla,jak,ale,też,przez,przy,nad,pod,można,będzie,bardzo,tylko;;;;;;;;;;;
ro;cu,fără,care,sunt,este,pentru,dar,mai,acest,această,tot,poate,face,fiind,prin,asupra,într,dintre,după,când;;;;;;;;;;;
th;;;;;;;;;;;;
ar;;;;;;;;;;;;
cn;;;;;;;;;;;;
;accent;;;;;;;;;;;
fr;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;;;;;;;;;;;
en;;;;;;;;;;;;
de;ä,ö,ü,ß,Ä,Ö,Ü,ẞ;;;;;;;;;;;
es;á,é,í,ó,ú,ñ,ü,¿,¡,Á,É,Í,Ó,Ú,Ñ,Ü;;;;;;;;;;;
it;à,è,é,ì,ò,ù,À,È,É,Ì,Ò,Ù;;;;;;;;;;;
pt;á,â,ã,à,é,ê,í,ó,ô,õ,ú,ç,Á,Â,Ã,À,É,Ê,Í,Ó,Ô,Õ,Ú,Ç;;;;;;;;;;;
pl;ą,ć,ę,ł,ń,ó,ś,ź,ż,Ą,Ć,Ę,Ł,Ń,Ó,Ś,Ź,Ż;;;;;;;;;;;
ro;ă,â,î,ș,ț,Ă,Â,Î,Ș,Ț;;;;;;;;;;;
th;;;;;;;;;;;;
ar;;;;;;;;;;;;
cn;;;;;;;;;;;;
